"rank_change","symbol","rank","padj","gene"
0,"CXCR1",1,5.26100692389012e-69,"ENSG00000163464"
1,"FCGR3B",2,1.90576660386976e-56,"ENSG00000162747"
4,"KCNJ15",3,6.67987128681538e-45,"ENSG00000157551"
5,"FAM157A",4,7.41811611111632e-44,"ENSG00000236438"
13,"TREML3P",5,4.5399765302996e-36,"ENSG00000184106"
15,"R3HDM4",6,5.45471578003817e-36,"ENSG00000198858"
10,"CCNJL",7,6.40899108510354e-36,"ENSG00000135083"
16,"LCN2",8,7.04798047474609e-30,"ENSG00000148346"
35,"YPEL3",9,2.64802613622206e-26,"ENSG00000090238"
22,"CD177",10,7.50708945298712e-26,"ENSG00000204936"
87,"ACTN2",11,2.70888400656275e-25,"ENSG00000077522"
30,"FFAR2",12,3.13175081390158e-24,"ENSG00000126262"
35,"FKBP8",13,3.34468822416323e-24,"ENSG00000105701"
44,"CDC34",14,4.34279640408633e-24,"ENSG00000099804"
18,"KIT",15,8.19332321861834e-24,"ENSG00000157404"
49,"ADAM8",16,1.55264618937317e-23,"ENSG00000151651"
82,"MB",17,2.26139091197022e-23,"ENSG00000198125"
110,"FTH1P8",18,2.48255719060718e-23,"ENSG00000219507"
18,"NPR3",19,2.52330614233185e-22,"ENSG00000113389"
48,"SLC44A2",20,6.05394478573368e-22,"ENSG00000129353"
89,"ACTA1",21,2.48251078309897e-21,"ENSG00000143632"
33,"CDKN2D",22,4.34313627874833e-21,"ENSG00000129355"
29,"KRT23",23,5.26818995277382e-21,"ENSG00000108244"
46,"ZDHHC18",24,1.2159787949148e-20,"ENSG00000204160"
111,"ATAD5",25,1.27434738581425e-20,"ENSG00000176208"
1378,"FTH1P2",26,2.01220883487356e-19,"ENSG00000234975"
20,"TNFRSF10C",27,6.9862976098375e-19,"ENSG00000173535"
64,"ADIPOR1",28,7.51059079868057e-19,"ENSG00000159346"
59,"MMP25",29,2.71160951771052e-18,"ENSG00000008516"
65,"GZMB",30,5.21551146972791e-18,"ENSG00000100453"
130,"MYH7",31,6.47261017480344e-18,"ENSG00000092054"
62,"CXCR2",32,6.47261017480344e-18,"ENSG00000180871"
79,"UBALD2",33,6.47261017480344e-18,"ENSG00000185262"
179,"AL627309.6",34,7.25465152210426e-18,"ENSG00000268903"
81,"PI3",35,1.63983728239713e-17,"ENSG00000124102"
120,"ZBED3",36,1.71198126686021e-17,"ENSG00000132846"
17,"COL24A1",37,3.12623055457586e-17,"ENSG00000171502"
88,"TFEC",38,4.24711593527449e-17,"ENSG00000105967"
254,"TNNC1",39,4.24711593527449e-17,"ENSG00000114854"
43,"OAZ1",40,4.81685976202671e-17,"ENSG00000104904"
56,"LSP1",41,5.09922129274664e-17,"ENSG00000130592"
240,"MYBPC1",42,7.78115210990454e-17,"ENSG00000196091"
89,"MARCHF2",43,9.09208158834501e-17,"ENSG00000099785"
282,"NRAP",44,1.82114849472147e-16,"ENSG00000197893"
74,"PINK1",45,1.85324797529959e-16,"ENSG00000158828"
72,"ORM1",46,2.35737370039183e-16,"ENSG00000229314"
129,"ARID5A",47,3.27279094521615e-16,"ENSG00000196843"
377,"LDB3",48,4.23457223839029e-16,"ENSG00000122367"
166,"MYL2",49,6.85399562118376e-16,"ENSG00000111245"
259,"DLK1",50,6.87905718009975e-16,"ENSG00000185559"
119,"ABTB1",51,6.9804023526534e-16,"ENSG00000114626"
81,"FTL",52,7.96319935622848e-16,"ENSG00000087086"
77,"AL035661.1",53,9.15022060050516e-16,"ENSG00000274173"
104,"ACSL1",54,1.16104181607985e-15,"ENSG00000151726"
