"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000254772",32824,21405,27044,0,0,0,1.67504517150283e-38,"EEF1G",15,NA
"ENSG00000268734",2181,2611,19247,0,0,0,8.05610045707128e-25,"AC245128.3",43,NA
"ENSG00000214736",640,1239,1168,0,0,0,5.8944739909881e-21,"TOMM6",64,NA
"ENSG00000211675",500,685,976,0,0,0,1.54274877307833e-20,"IGLC1",71,NA
"ENSG00000274012",2867,2115,673,0,0,0,1.96739387143146e-19,"RN7SL2",84,NA
"ENSG00000213689",326,572,850,0,0,0,5.23420021497131e-19,"TREX1",89,NA
"ENSG00000267368",802,770,526,0,0,0,1.6023891307345e-18,"UPK3BL1",96,NA
"ENSG00000145029",380,241,779,0,0,0,8.06158545476191e-18,"NICN1",108,NA
"ENSG00000266820",314,274,1246,0,0,0,1.80744498773202e-17,"KPNA2P3",115,NA
"ENSG00000213073",606,361,282,0,0,0,1.01570139805607e-15,"CHP1P2",145,NA
"ENSG00000213931",415,2762,255,0,0,0,2.23657950515837e-14,"HBE1",194,NA
"ENSG00000279117",236,296,176,0,0,0,3.36983826474093e-14,"AP001972.5",202,NA
"ENSG00000263647",160,104,573,0,0,0,4.48094260654292e-14,"BPTFP1",209,NA
"ENSG00000211596",136,104,266,0,0,0,4.58264036139993e-14,"IGKJ2",210,NA
"ENSG00000231259",129,91,146,0,0,0,9.65373750353008e-13,"ANAPC1P2",260,NA
"ENSG00000215837",83,82,281,0,0,0,1.05275290333414e-12,"SDHAP2",262,NA
"ENSG00000253797",54,161,301,0,0,0,2.25133917858361e-12,"UTP14C",285,NA
"ENSG00000218227",148,105,103,0,0,0,5.11909305813215e-12,"AC136632.1",312,NA
"ENSG00000255455",98,55,400,0,0,0,7.49936196226429e-12,"AP003486.1",323,NA
"ENSG00000230733",52,117,738,0,0,0,1.17909893769258e-11,"AC092171.2",331,NA
"ENSG00000272821",157,41,233,0,0,0,1.82504038314125e-11,"U62317.1",348,NA
"ENSG00000259623",40,88,264,0,0,0,4.07090886965902e-11,"AC125257.1",381,NA
"ENSG00000280153",327,77,98,0,0,0,5.00620110643831e-11,"AC133065.3",387,NA
"ENSG00000204196",48,95,61,0,0,0,7.22017123264231e-10,"RPL12P16",515,NA
"ENSG00000142694",28,129,86,0,0,0,1.78553157890718e-09,"EVA1B",573,NA
"ENSG00000139574",33,33,202,0,0,0,2.57548650970241e-09,"NPFF",603,NA
"ENSG00000204822",29,39,85,0,0,0,2.77318823167826e-09,"MRPL53",607,NA
"ENSG00000279095",33,31,79,0,0,0,3.91441623370348e-09,"AC243964.4",636,NA
"ENSG00000207165",74,77,34,0,0,0,4.46504198774965e-09,"SNORA70",655,NA
"ENSG00000284048",127,56,35,0,0,0,5.31139720761126e-09,"AC073111.2",673,NA
